AN_REFERENCIA;NM_MUNICIPIO_IES_CAPES;SG_UF_IES_CAPES;NM_REGIAO_IES_CAPES;CD_IES_CAPES;NM_IES_CAPES;SG_IES_CAPES;NM_NATUREZA_JURIDICA;SG_PROGRAMA_FOMENTO;CD_PROGRAMA;NM_PROGRAMA;NM_GRANDE_AREA;NM_AREA_AVALIACAO;NM_AREA_CONHECIMENTO;NM_NIVEL_PADRAO;QT_BOLSAS_CONCEDIDAS
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012005P1;GENÉTICA E BIOLOGIA MOLECULAR;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS I;GENÉTICA;DOUTORADO;4
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012005P1;GENÉTICA E BIOLOGIA MOLECULAR;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS I;GENÉTICA;MESTRADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012008P0;SAÚDE COLETIVA;CIÊNCIAS DA SAÚDE;SAÚDE COLETIVA;SAÚDE COLETIVA;DOUTORADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012009P7;CIÊNCIA ANIMAL;CIÊNCIAS AGRÁRIAS;MEDICINA VETERINÁRIA;MEDICINA VETERINÁRIA;DOUTORADO;5
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012009P7;CIÊNCIA ANIMAL;CIÊNCIAS AGRÁRIAS;MEDICINA VETERINÁRIA;MEDICINA VETERINÁRIA;MESTRADO;4
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012013P4;AGRONOMIA;CIÊNCIAS AGRÁRIAS;CIÊNCIAS AGRÁRIAS I;FITOTECNIA;DOUTORADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012013P4;AGRONOMIA;CIÊNCIAS AGRÁRIAS;CIÊNCIAS AGRÁRIAS I;FITOTECNIA;MESTRADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012014P0;FÍSICA;CIÊNCIAS EXATAS E DA TERRA;ASTRONOMIA / FÍSICA;FÍSICA;DOUTORADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012016P3;MICROBIOLOGIA;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS III;MICROBIOLOGIA;MESTRADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012018P6;QUÍMICA;CIÊNCIAS EXATAS E DA TERRA;QUÍMICA;QUÍMICA;MESTRADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012019P2;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS;BIODIVERSIDADE;TAXONOMIA DOS GRUPOS RECENTES;DOUTORADO;3
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012019P2;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS;BIODIVERSIDADE;TAXONOMIA DOS GRUPOS RECENTES;MESTRADO;3
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012020P0;SERVIÇO SOCIAL E POLÍTICA SOCIAL;CIÊNCIAS SOCIAIS APLICADAS;SERVIÇO SOCIAL;SERVIÇO SOCIAL;DOUTORADO;3
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012020P0;SERVIÇO SOCIAL E POLÍTICA SOCIAL;CIÊNCIAS SOCIAIS APLICADAS;SERVIÇO SOCIAL;SERVIÇO SOCIAL;MESTRADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012021P7;GEOGRAFIA;CIÊNCIAS HUMANAS;GEOGRAFIA;GEOGRAFIA;DOUTORADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012022P3;ESTUDOS DA LINGUAGEM;LINGÜÍSTICA, LETRAS E ARTES;LETRAS / LINGUÍSTICA;LINGÜÍSTICA;DOUTORADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012022P3;ESTUDOS DA LINGUAGEM;LINGÜÍSTICA, LETRAS E ARTES;LETRAS / LINGUÍSTICA;LINGÜÍSTICA;MESTRADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012023P0;BIOTECNOLOGIA;MULTIDISCIPLINAR;BIOTECNOLOGIA;BIOTECNOLOGIA;DOUTORADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012024P6;ENGENHARIA ELETRICA;ENGENHARIAS;ENGENHARIAS IV;ENGENHARIA ELÉTRICA;MESTRADO;3
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012025P2;ENSINO DE CIÊNCIAS E EDUCAÇÃO MATEMÁTICA;MULTIDISCIPLINAR;ENSINO;ENSINO DE CIÊNCIAS E MATEMÁTICA;MESTRADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012026P9;PATOLOGIA EXPERIMENTAL;CIÊNCIAS DA SAÚDE;MEDICINA II;ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA;DOUTORADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012026P9;PATOLOGIA EXPERIMENTAL;CIÊNCIAS DA SAÚDE;MEDICINA II;ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA;MESTRADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012028P1;ANÁLISE DO COMPORTAMENTO;CIÊNCIAS HUMANAS;PSICOLOGIA;PSICOLOGIA;MESTRADO;4
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012029P8;EDUCAÇÃO FÍSICA;CIÊNCIAS DA SAÚDE;EDUCAÇÃO FÍSICA;EDUCAÇÃO FÍSICA;DOUTORADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012029P8;EDUCAÇÃO FÍSICA;CIÊNCIAS DA SAÚDE;EDUCAÇÃO FÍSICA;EDUCAÇÃO FÍSICA;MESTRADO;2
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012033P5;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO;MESTRADO;1
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012037P0;ECONOMIA REGIONAL;CIÊNCIAS SOCIAIS APLICADAS;ECONOMIA;ECONOMIA REGIONAL;MESTRADO;2
